ticker,timeframe,timestamp,open,high,low,close,volume,candle_pattern,atr_period,atr_multiplier,atr_value,long_stop,short_stop,direction,buy_signal,sell_signal,ema_11,ema_22,ema_50,ema_200,obv,ma_period,ma_value,bb_std,upper_band,lower_band,rsi_14,pp,r1,r2,r3,s1,s2,s3
BTCUSDT,1h,2025-04-08 23:00:00,76731.21000000,76798.00000000,76307.36000000,76322.42000000,965.34061000,,22.0,3.00,2774.77308398,77525.22691602,79097.19308398,-1.0,False,False,77438.01157071,78041.93214629,78833.43058831,81424.46502030,25226.30053200,14,31839.01524414,2.0000,,,32.90550159,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 22:00:00,77100.00000000,77135.19000000,76239.90000000,76731.21000000,963.72715000,,22.0,3.00,2836.81370703,77763.17629297,79568.02370703,-1.0,False,False,77661.12988486,78205.69520785,78935.92081641,81475.74185468,26191.64114200,14,32468.09604271,2.0000,,,35.34359589,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 21:00:00,77133.40000000,77285.50000000,76730.01000000,77100.00000000,412.81598000,Doji,22.0,3.00,2769.69832078,77830.29167922,79623.74832078,-1.0,False,False,77854.44719516,78349.94845745,79027.63450319,81523.86340286,27568.84125200,14,33133.10606700,2.0000,,,38.00348056,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 20:00:00,76854.05000000,77200.79000000,76606.51000000,77133.41000000,853.14727000,,22.0,3.00,2900.07443129,77699.91556871,79754.12443129,-1.0,False,False,77996.53663420,78464.80069150,79104.51754414,81567.88213052,27568.18427200,14,33744.13024629,2.0000,,,37.89347129,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 19:00:00,77259.91000000,77356.00000000,76334.65000000,76854.05000000,3200.81341000,,22.0,3.00,2814.00107088,77785.98892912,80073.91107088,-1.0,False,False,78236.80529437,78626.89197889,79200.88699172,81616.48809759,29915.85041200,14,34522.71277986,2.0000,,,37.36163833,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 18:00:00,77350.00000000,77999.99000000,77082.65000000,77259.91000000,1833.69836000,Doji,22.0,3.00,2948.00112187,77651.98887813,80207.91112187,-1.0,False,False,78432.18435324,78757.08073878,79280.11054240,81660.27280208,29915.85041200,14,34963.65657986,2.0000,,,37.36163833,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 17:00:00,77414.26000000,77560.00000000,76556.98000000,77349.99000000,3127.01518000,Doji,22.0,3.00,2957.33355625,77642.65644375,80285.49069533,-1.0,False,False,78666.63922389,78899.66842819,79362.56770740,81704.49755386,31749.54877200,14,35477.58554843,2.0000,,,37.87134988,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 16:00:00,78498.00000000,78522.72000000,77357.61000000,77414.25000000,2601.21789000,Bearish Engulfing,22.0,3.00,2798.88811953,77801.10188047,80285.49069533,1.0,False,False,79107.05406867,79139.64902383,79486.38079509,81758.83368768,37474.21274200,14,36003.00068771,2.0000,,,44.43884786,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 15:00:00,78479.91000000,78859.85000000,78175.14000000,78497.99000000,2215.66571000,Doji,22.0,3.00,2836.86649319,77763.12350681,80285.49069533,1.0,False,False,79231.44621573,79201.91174660,79527.19765028,81791.71985040,35262.85244200,14,35834.50949200,2.0000,,,44.50466461,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-08 14:00:00,79899.90000000,80258.00000000,78474.00000000,78479.91000000,2481.53782000,Tweezer Top,22.0,3.00,2729.52336083,77870.46663917,80285.49069533,1.0,False,False,79615.48579221,79392.69472868,79624.99036749,81838.97381224,37742.76024200,14,36250.65148343,2.0000,,,54.70709635,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
